"Time","Patch","Age","myID","momID","dadID"
154,1,5,3765025,3560709,3293808
154,1,3,3819392,3575545,3349383
154,1,2,3828055,3398537,3204830
154,1,5,3771771,3562084,3512528
154,1,2,3841974,2910713,2707548
154,1,2,3839459,3635175,3581054
155,1,6,3771090,3519938,2943730
155,1,3,3828942,3403972,3298318
155,1,2,3851077,3504044,3307617
155,1,5,3783093,3346618,3186825
155,1,2,3850855,3511846,3510266
155,1,2,3869305,3666641,3049619
155,1,4,3811842,3461949,3210725
155,1,2,3857991,3388982,3171099
155,1,2,3850738,3656601,2931586
155,1,2,3848434,3642702,3505376
155,1,3,3829197,3328022,3303997
155,1,3,3834468,3621336,3143675
155,1,4,3820295,3583027,3486970
155,1,2,3851107,3435462,3356985
156,1,2,3873494,3548246,3250550
156,1,2,3874960,3383166,3177656
156,1,2,3875037,3680686,3667916
156,1,2,3885900,3533461,3383441
156,1,2,3871460,3503288,3495067
156,1,2,3892964,3695826,3664600
156,1,3,3864599,3505212,2923381
156,1,3,3864735,3569200,3207799
156,1,3,3853783,3653178,3526643
156,1,2,3885139,2874644,2662628
156,1,2,3893165,3691306,3407704
156,1,3,3859131,3382918,3361386
156,1,3,3848610,3502336,3421585
156,1,3,3850582,3272266,3131416
156,1,3,3860587,3398263,3316885
157,1,4,3866016,3477348,3237343
157,1,2,3912308,3517605,2760665
157,1,2,3896135,3225235,2853075
157,1,3,3886569,3668514,3321852
157,1,2,3904481,3277584,3273725
157,1,3,3893507,3697469,3175565
157,1,3,3889482,3659218,3477218
157,1,2,3905171,3598825,3555106
157,1,2,3903496,3157486,3079110
157,1,3,3878860,3676966,2957116
157,1,2,3902297,3469981,2646084
158,1,2,3921184,3578487,3587663
158,1,2,3929642,3556659,2894949
158,1,2,3935537,3660930,3575189
158,1,3,3900210,3341128,3223147
158,1,2,3928370,3290132,3241186
158,1,6,3827067,3517891,3310539
158,1,4,3882836,3627190,3252085
158,1,3,3907216,3487246,3451282
158,1,2,3939714,3748008,3621881
158,1,5,3850897,3647856,3216884
158,1,2,3926184,3725399,3326990
159,1,3,3926970,3531987,3518369
159,1,4,3910403,3608966,3473051
159,1,4,3904375,3676860,3455414
159,1,2,3952687,3696072,3318746
159,1,2,3956447,3628267,3585327
159,1,2,3962815,3762363,3127027
159,1,3,3922095,3208029,3200063
159,1,2,3959856,3745926,3712111
159,1,3,3920891,3383166,3177656
160,1,2,3975251,3554087,3490334
160,1,2,3978897,3544523,3308658
160,1,3,3961566,3761049,3242760
160,1,3,3945979,3379694,3309395
160,1,4,3933603,3605400,3474218
160,1,3,3948664,3704523,3486492
160,1,3,3942632,3500139,3367434
160,1,2,3978402,3668514,3321852
160,1,2,3974994,3667512,3529359
160,1,2,3977175,3216327,2881526
160,1,2,3981373,3581487,3447151
161,1,2,3989277,3755891,3645208
161,1,4,3950667,3708392,3271326
161,1,2,4007802,3801894,3669949
161,1,2,3997928,3022313,2901644
161,1,2,3996946,3780745,3643323
161,1,3,3967117,3294393,3054659
161,1,2,4005277,3581706,3548979
161,1,3,3964287,3588156,3366760
161,1,2,4004833,3540577,3309291
161,1,2,4002791,3048364,2816030
162,1,2,4029385,3800399,3681893
162,1,2,4021736,3767043,3741533
162,1,5,3955177,3557386,3471637
162,1,2,4010206,3595387,3451282
162,1,2,4018623,3594296,2661414
162,1,4,3977621,3699036,3165248
162,1,2,4028560,3581706,3548979
162,1,2,4030871,3835201,3698050
162,1,2,4020621,3786208,3498722
162,1,6,3917466,3490895,3321236
162,1,5,3942036,3435444,3295786
162,1,2,4013080,3610093,3607899
162,1,6,3930025,3691148,3574065
163,1,2,4041427,3565556,3286444
163,1,4,3991152,3763377,3727635
163,1,2,4052278,3475526,3296293
163,1,5,3975599,3532838,3047078
163,1,3,4013629,3791785,3462480
163,1,4,4000802,3727344,3549717
163,1,2,4045718,3532838,3047078
164,1,2,4058234,3819783,3800563
164,1,3,4045034,3473103,3201721
164,1,6,3975527,3278984,3158296
164,1,2,4075297,3642251,3599475
164,1,2,4076302,3581669,3344656
